Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person,Product ID,Category,Age of Customer,Purchase Frequency (Monthly),Preferred Payment Method,Return History,Customer Loyalty Score,Active Promotional Campaign,Nombre del producto
4,3,3.5,male,3370,4.6,Apple,-0.56,3397,Yes,monsoon,coastal,0.06,P04572,Electronics,24.0,4.0,Card,4.0,7.62,No,Smart Apple Smartwatch
15,12,4.3,female,4760,3.5,Sony,-0.36,3413,No,monsoon,coastal,0.91,P04573,Beauty,32.0,3.0,Cash,2.0,4.13,No,Smart Sony Lotion
35,16,2.7,non-binary,3532,1.6,Lee,0.64,1308,Yes,monsoon,plains,0.83,P04574,Electronics,44.0,10.0,Online,3.0,3.4,Yes,Luxury Lee Phone
24,7,3.2,female,2547,4.2,Adidas,0.19,2408,Yes,summer,plains,0.89,P04575,Food,40.0,14.0,Cash,3.0,2.3,No,Mega Adidas Snack
12,8,2.4,male,3634,3.9,Samsung,-0.61,3029,Yes,winter,coastal,0.16,P04576,Beauty,66.0,9.0,Card,0.0,7.03,Yes,Ultra Samsung Lipstick
0,19,5.0,male,4231,3.1,Adidas,-0.73,3340,Yes,summer,coastal,0.11,P04577,Furniture,34.0,18.0,Card,3.0,3.54,Yes,Pro Adidas Bed
18,15,1.3,non-binary,1268,1.4,Samsung,0.72,728,Yes,monsoon,urban,0.81,P04578,Furniture,62.0,2.0,Online,0.0,2.94,No,Pro Samsung Shelf
7,8,4.6,female,2345,2.0,Nike,-0.75,3644,No,spring,mountains,0.87,P04579,Electronics,44.0,4.0,Online,0.0,7.86,Yes,Super Nike Laptop
4,3,2.4,non-binary,4417,3.8,Samsung,-0.29,2755,No,winter,coastal,0.23,P04580,Furniture,52.0,7.0,Card,1.0,0.78,No,Smart Samsung Chair
47,8,4.9,non-binary,2565,2.8,Lee,-0.64,3787,No,winter,mountains,0.83,P04581,Sports,48.0,17.0,Online,6.0,5.3,No,Super Lee Ball
31,9,3.7,non-binary,2203,4.2,Sony,-0.7,269,No,monsoon,mountains,0.91,P04582,Health,47.0,11.0,Card,2.0,4.32,Yes,Super Sony Medicine
49,4,2.5,female,2632,1.4,Sony,-0.4,4737,No,summer,mountains,0.33,P04583,Sports,29.0,19.0,Cash,3.0,6.37,No,Eco Sony Shoes
31,0,1.3,male,4383,2.9,Apple,-0.65,1208,Yes,monsoon,urban,0.06,P04584,Sports,48.0,5.0,Online,0.0,9.95,Yes,Eco Apple Ball
13,7,1.1,non-binary,1923,1.5,Apple,0.78,2025,Yes,monsoon,plains,0.5,P04585,Sports,67.0,9.0,Cash,8.0,4.94,No,Ultra Apple Bicycle
15,17,1.1,male,3748,1.9,PUMA,0.73,1577,Yes,monsoon,mountains,0.99,P04586,Food,58.0,14.0,Online,4.0,7.7,Yes,Smart PUMA Cereal
31,8,4.8,male,1607,1.0,Adidas,-0.63,4746,Yes,winter,mountains,0.96,P04587,Beauty,69.0,16.0,Online,0.0,5.08,Yes,Luxury Adidas Perfume
3,17,3.1,non-binary,3722,2.2,PUMA,0.15,4320,No,spring,coastal,0.05,P04588,Clothing,19.0,9.0,Card,7.0,4.33,No,Pro PUMA Sneakers
12,9,3.4,male,4439,3.9,Nike,-0.19,1832,Yes,spring,plains,0.65,P04589,Food,40.0,10.0,Cash,9.0,1.12,Yes,Luxury Nike Juice
45,4,4.7,non-binary,2483,2.3,Nike,-0.87,2290,Yes,monsoon,plains,0.45,P04590,Sports,66.0,15.0,Card,3.0,5.48,Yes,Ultra Nike Gloves
24,17,3.8,non-binary,1295,4.5,PUMA,0.22,3623,No,spring,coastal,0.58,P04591,Beauty,27.0,9.0,Cash,0.0,3.54,No,Super PUMA Shampoo
47,3,3.0,female,506,2.2,Sony,0.75,207,Yes,spring,plains,0.27,P04592,Electronics,58.0,3.0,Cash,0.0,1.26,Yes,Super Sony Laptop
4,4,2.3,non-binary,1706,2.4,Sony,0.28,2168,Yes,spring,mountains,0.15,P04593,Sports,55.0,8.0,Online,3.0,1.07,No,Ultra Sony Racket
11,2,3.4,female,226,2.4,PUMA,0.09,915,Yes,summer,urban,0.22,P04594,Health,54.0,17.0,Card,7.0,2.06,Yes,Eco PUMA Medicine
22,2,4.5,female,3339,5.0,Lee,0.64,3687,Yes,monsoon,coastal,0.14,P04595,Furniture,56.0,10.0,Card,7.0,5.09,Yes,Ultra Lee Bed
4,0,4.2,male,4337,1.5,Apple,0.91,414,No,spring,mountains,0.12,P04596,Electronics,33.0,1.0,Cash,2.0,1.37,No,Luxury Apple Headphones
5,0,1.6,non-binary,1384,1.7,Sony,0.25,4594,No,summer,plains,0.24,P04597,Food,36.0,8.0,Cash,5.0,2.67,No,Mega Sony Juice
34,7,1.5,female,2385,1.9,Nike,0.06,3476,No,winter,plains,0.83,P04598,Furniture,28.0,10.0,Online,0.0,7.5,Yes,Luxury Nike Shelf
29,1,2.7,female,396,4.0,Samsung,-0.31,1972,Yes,monsoon,coastal,0.29,P04599,Clothing,65.0,10.0,Card,8.0,2.24,No,Luxury Samsung Jeans
5,5,1.4,non-binary,3753,4.1,PUMA,0.18,1947,Yes,winter,plains,0.74,P04600,Food,59.0,7.0,Online,5.0,9.49,Yes,Mega PUMA Snack
34,9,3.9,non-binary,1154,2.2,Adidas,-0.93,2612,Yes,summer,mountains,0.16,P04601,Electronics,56.0,5.0,Cash,5.0,6.75,No,Eco Adidas Phone
37,5,3.2,female,798,4.8,Samsung,-0.65,1706,Yes,winter,coastal,0.56,P04602,Clothing,40.0,3.0,Online,8.0,8.55,No,Smart Samsung Cap
37,8,2.9,non-binary,153,2.1,Apple,-0.4,744,Yes,winter,urban,0.36,P04603,Beauty,32.0,3.0,Online,2.0,0.85,Yes,Smart Apple Shampoo
35,15,4.8,male,1148,4.3,Samsung,-0.39,1217,No,monsoon,plains,0.82,P04604,Beauty,39.0,3.0,Card,2.0,5.81,Yes,Super Samsung Lotion
1,4,2.7,female,878,1.4,Adidas,0.97,264,No,summer,mountains,0.18,P04605,Food,39.0,3.0,Card,1.0,3.46,No,Pro Adidas Meal
17,10,1.8,male,514,2.5,PUMA,0.8,4971,Yes,winter,plains,0.7,P04606,Electronics,63.0,10.0,Cash,0.0,0.77,Yes,Super PUMA Headphones
11,4,4.1,female,475,4.0,Lee,-0.69,741,No,spring,plains,0.1,P04607,Clothing,18.0,8.0,Online,6.0,5.7,No,Pro Lee Sneakers
1,2,1.9,non-binary,2595,4.3,Samsung,0.46,1747,Yes,monsoon,plains,0.88,P04608,Health,62.0,5.0,Online,6.0,3.97,No,Mega Samsung Mask
4,19,3.5,male,3187,1.2,Adidas,-0.92,1222,No,winter,plains,0.21,P04609,Beauty,37.0,9.0,Cash,6.0,3.04,Yes,Luxury Adidas Shampoo
20,12,3.0,non-binary,2755,2.3,Sony,0.33,1282,Yes,summer,plains,0.36,P04610,Health,49.0,12.0,Card,1.0,9.64,Yes,Mega Sony Bandage
4,11,2.3,male,2422,3.5,Nike,-0.28,4362,Yes,summer,plains,0.33,P04611,Food,32.0,6.0,Online,2.0,5.3,Yes,Ultra Nike Cereal
13,9,3.3,male,606,1.4,PUMA,0.03,2619,Yes,monsoon,plains,0.0,P04612,Food,30.0,9.0,Card,9.0,5.61,No,Ultra PUMA Meal
36,4,1.9,non-binary,1267,3.5,PUMA,0.01,2115,No,spring,urban,0.35,P04613,Beauty,51.0,1.0,Cash,8.0,1.06,Yes,Pro PUMA Perfume
38,11,2.7,male,444,4.6,PUMA,-0.25,712,Yes,winter,mountains,0.52,P04614,Beauty,37.0,15.0,Card,7.0,5.92,Yes,Pro PUMA Lipstick
47,2,3.9,non-binary,3590,2.8,Apple,-0.24,1270,Yes,spring,coastal,0.28,P04615,Furniture,20.0,14.0,Cash,9.0,7.29,Yes,Eco Apple Bed
28,13,2.8,non-binary,4243,4.2,Adidas,-0.64,3396,Yes,summer,urban,0.72,P04616,Beauty,24.0,15.0,Online,5.0,2.05,Yes,Smart Adidas Perfume
42,9,4.4,male,2985,4.1,Sony,-0.21,4060,Yes,monsoon,plains,0.53,P04617,Beauty,33.0,16.0,Online,5.0,4.08,Yes,Super Sony Shampoo
33,15,3.3,male,637,2.6,PUMA,0.47,3407,Yes,winter,plains,0.94,P04618,Health,62.0,5.0,Cash,3.0,9.51,Yes,Eco PUMA Vitamin
33,10,2.1,non-binary,4948,2.3,Samsung,-0.56,4484,No,monsoon,coastal,0.58,P04619,Beauty,61.0,3.0,Online,4.0,9.02,Yes,Smart Samsung Lipstick
24,1,3.6,non-binary,3075,1.4,Sony,-0.42,3192,No,spring,coastal,0.39,P04620,Health,40.0,4.0,Online,1.0,3.48,Yes,Super Sony Supplements
13,7,3.7,female,3576,2.0,Nike,0.79,2650,No,winter,coastal,0.09,P04621,Health,64.0,1.0,Card,8.0,4.79,Yes,Luxury Nike Vitamin
44,6,3.3,female,3998,4.5,Samsung,0.52,1920,No,summer,plains,0.55,P04622,Food,36.0,11.0,Card,9.0,5.71,No,Eco Samsung Candy
1,12,3.3,non-binary,3985,2.1,Samsung,0.82,4099,No,monsoon,urban,0.67,P04623,Electronics,29.0,1.0,Card,2.0,9.39,No,Luxury Samsung Headphones
36,10,3.8,male,1542,2.3,PUMA,0.43,2170,Yes,summer,coastal,0.21,P04624,Health,43.0,10.0,Card,2.0,1.12,No,Smart PUMA Vitamin
35,17,1.6,non-binary,1897,3.6,Apple,0.4,3250,No,monsoon,urban,0.96,P04625,Clothing,22.0,9.0,Cash,7.0,7.06,Yes,Pro Apple Sneakers
26,6,3.1,female,1874,3.7,Nike,-0.49,4118,Yes,monsoon,coastal,0.26,P04626,Sports,55.0,2.0,Online,9.0,2.22,No,Luxury Nike Bicycle
27,18,2.9,non-binary,3640,3.4,Nike,-0.09,4790,Yes,monsoon,coastal,0.04,P04627,Clothing,47.0,13.0,Card,9.0,3.67,Yes,Super Nike Sneakers
33,13,4.5,female,641,2.5,Lee,0.7,2685,Yes,winter,coastal,0.17,P04628,Furniture,59.0,19.0,Cash,5.0,2.02,No,Mega Lee Table
14,18,3.2,female,2216,4.6,Sony,0.74,3852,Yes,spring,coastal,0.09,P04629,Furniture,53.0,3.0,Cash,9.0,3.21,No,Ultra Sony Shelf
19,4,4.1,non-binary,2303,2.8,Adidas,0.22,4015,Yes,spring,mountains,0.21,P04630,Food,40.0,13.0,Card,4.0,8.63,No,Ultra Adidas Candy
24,0,1.1,non-binary,2678,1.8,Adidas,0.6,2158,Yes,summer,urban,0.77,P04631,Food,39.0,13.0,Card,5.0,9.83,No,Pro Adidas Candy
22,3,1.3,female,4059,3.1,Adidas,0.6,1824,No,spring,plains,0.07,P04632,Furniture,37.0,19.0,Card,9.0,5.09,Yes,Smart Adidas Shelf
42,8,1.3,male,4522,2.2,Sony,-0.24,541,Yes,spring,mountains,0.96,P04633,Sports,31.0,2.0,Cash,3.0,9.87,Yes,Eco Sony Ball
30,1,2.9,male,2550,2.6,PUMA,0.59,2144,Yes,spring,mountains,0.15,P04634,Sports,42.0,15.0,Cash,3.0,3.24,No,Ultra PUMA Bicycle
28,9,1.1,female,2786,3.2,Samsung,0.03,1887,No,spring,mountains,0.21,P04635,Health,49.0,14.0,Cash,9.0,3.07,Yes,Super Samsung Bandage
24,17,2.8,female,828,3.9,Samsung,-0.96,3938,No,spring,urban,0.23,P04636,Health,48.0,6.0,Card,9.0,6.8,Yes,Luxury Samsung Vitamin
31,16,1.4,female,4067,4.8,Lee,-0.84,3602,Yes,summer,plains,0.88,P04637,Health,69.0,17.0,Cash,8.0,7.32,Yes,Ultra Lee Vitamin
12,12,1.7,female,4089,1.3,Apple,-0.72,2670,No,summer,plains,0.34,P04638,Sports,30.0,1.0,Online,3.0,2.64,Yes,Smart Apple Ball
3,15,1.3,non-binary,2305,4.0,Apple,-0.82,1019,No,monsoon,urban,0.28,P04639,Clothing,35.0,19.0,Card,5.0,8.93,No,Eco Apple T-Shirt
36,0,1.0,female,763,4.7,Samsung,0.44,2958,Yes,summer,mountains,0.89,P04640,Sports,63.0,13.0,Card,3.0,6.71,Yes,Pro Samsung Shoes
18,16,1.8,non-binary,3184,4.3,PUMA,-0.93,3327,No,spring,urban,0.76,P04641,Beauty,23.0,1.0,Cash,6.0,1.98,Yes,Luxury PUMA Cream
34,0,2.0,non-binary,4977,4.8,Lee,-0.76,4174,Yes,winter,plains,0.41,P04642,Food,43.0,18.0,Online,9.0,5.18,No,Eco Lee Snack
15,5,2.2,non-binary,3153,2.9,Adidas,0.51,520,No,winter,urban,0.6,P04643,Furniture,39.0,18.0,Online,7.0,8.3,No,Smart Adidas Table
42,5,1.1,non-binary,1749,4.1,Sony,-0.55,2642,No,summer,mountains,0.34,P04644,Health,46.0,4.0,Card,1.0,0.0,No,Eco Sony Supplements
8,5,2.9,male,3555,4.7,Samsung,-0.79,2106,No,winter,urban,0.44,P04645,Clothing,22.0,5.0,Cash,9.0,6.51,No,Ultra Samsung Jacket
37,16,4.3,non-binary,4083,1.2,PUMA,-0.98,924,Yes,winter,plains,0.89,P04646,Electronics,21.0,6.0,Cash,8.0,3.26,No,Smart PUMA Phone
36,5,1.8,non-binary,2380,3.7,Adidas,-0.11,2827,Yes,summer,urban,0.09,P04647,Furniture,40.0,7.0,Online,9.0,1.98,No,Mega Adidas Table
38,12,4.3,female,4406,1.9,Samsung,0.11,2016,Yes,spring,plains,0.75,P04648,Clothing,43.0,12.0,Cash,3.0,5.54,Yes,Super Samsung Cap
40,7,3.6,non-binary,1695,1.6,Nike,0.69,3537,No,winter,urban,0.85,P04649,Electronics,62.0,15.0,Cash,2.0,5.58,No,Smart Nike Smartwatch
29,14,4.6,female,1513,3.5,Samsung,0.83,3335,Yes,summer,mountains,0.16,P04650,Sports,22.0,10.0,Online,2.0,8.86,No,Eco Samsung Bicycle
9,17,3.3,female,3627,4.4,Adidas,0.12,3345,Yes,spring,urban,0.3,P04651,Clothing,34.0,3.0,Card,2.0,6.1,Yes,Pro Adidas Jeans
20,10,3.7,non-binary,1328,4.7,Sony,-0.65,731,No,summer,plains,0.29,P04652,Food,68.0,8.0,Card,4.0,1.61,Yes,Pro Sony Candy
44,9,2.0,male,2508,1.4,Nike,-0.12,4147,Yes,spring,coastal,0.18,P04653,Electronics,40.0,7.0,Online,2.0,9.22,No,Luxury Nike Headphones
7,2,4.5,male,994,3.9,PUMA,1.0,1870,Yes,winter,mountains,0.78,P04654,Beauty,65.0,9.0,Cash,8.0,3.26,Yes,Ultra PUMA Lotion
0,13,3.8,female,1249,5.0,Nike,0.7,3344,Yes,monsoon,coastal,0.16,P04655,Furniture,27.0,10.0,Card,0.0,3.63,No,Pro Nike Chair
10,11,4.9,non-binary,3867,1.6,PUMA,-0.32,4790,No,winter,coastal,0.38,P04656,Beauty,44.0,7.0,Online,9.0,0.63,No,Super PUMA Shampoo
22,6,3.7,female,360,2.8,PUMA,0.37,2518,No,monsoon,mountains,0.21,P04657,Beauty,50.0,14.0,Online,1.0,9.87,No,Eco PUMA Shampoo
9,15,1.8,non-binary,1594,1.6,Sony,0.66,785,Yes,spring,coastal,0.39,P04658,Sports,42.0,7.0,Card,0.0,4.01,Yes,Super Sony Racket
48,18,2.0,non-binary,1465,4.5,Apple,0.72,2452,No,spring,coastal,0.87,P04659,Sports,55.0,14.0,Card,1.0,6.51,Yes,Super Apple Racket
35,10,2.7,non-binary,3578,2.3,Samsung,0.02,3344,Yes,winter,coastal,0.51,P04660,Health,50.0,7.0,Cash,9.0,5.05,No,Super Samsung Bandage
19,4,4.5,male,2132,4.1,Nike,0.14,394,No,summer,plains,0.19,P04661,Clothing,37.0,8.0,Card,3.0,3.12,Yes,Pro Nike Jacket
41,13,3.3,male,1327,1.3,Sony,0.59,4946,No,winter,coastal,0.56,P04662,Electronics,56.0,17.0,Online,1.0,9.73,Yes,Pro Sony Laptop
44,1,2.8,male,4290,1.4,Sony,-1.0,3163,No,monsoon,urban,0.61,P04663,Health,21.0,7.0,Card,8.0,2.62,No,Mega Sony Supplements
39,19,1.7,non-binary,2270,4.6,Lee,-0.73,3963,No,winter,plains,0.14,P04664,Beauty,34.0,18.0,Card,2.0,6.79,No,Super Lee Lotion
38,18,2.1,non-binary,1657,1.6,Samsung,0.74,340,Yes,summer,mountains,0.6,P04665,Furniture,21.0,14.0,Card,5.0,5.56,Yes,Luxury Samsung Shelf
21,19,2.4,non-binary,2496,1.1,Samsung,0.19,3528,Yes,monsoon,mountains,0.39,P04666,Clothing,21.0,16.0,Online,0.0,2.89,Yes,Smart Samsung Cap
43,13,1.9,male,2726,4.2,Lee,0.01,4196,Yes,monsoon,urban,0.35,P04667,Electronics,30.0,7.0,Online,6.0,5.69,Yes,Smart Lee Phone
1,2,3.0,female,2691,2.3,Samsung,0.46,2941,Yes,spring,coastal,0.45,P04668,Clothing,61.0,6.0,Online,7.0,8.13,No,Smart Samsung Jacket
9,17,3.7,female,3520,3.6,Lee,-0.28,4677,No,summer,mountains,0.17,P04669,Electronics,58.0,19.0,Online,7.0,2.96,No,Eco Lee Smartwatch
21,13,4.7,non-binary,2086,3.2,Adidas,-0.05,2234,Yes,summer,mountains,0.87,P04670,Furniture,36.0,16.0,Card,4.0,2.92,Yes,Smart Adidas Bed
30,11,2.4,male,3973,1.4,Lee,-0.63,3336,Yes,summer,coastal,0.58,P04671,Furniture,19.0,11.0,Card,9.0,9.47,Yes,Super Lee Table
37,3,2.8,non-binary,1398,3.3,Samsung,-0.22,3804,Yes,monsoon,mountains,0.61,P04672,Food,51.0,13.0,Card,1.0,1.42,Yes,Eco Samsung Juice
48,14,3.3,female,516,1.5,Nike,0.84,1536,No,winter,urban,0.71,P04673,Clothing,27.0,2.0,Card,0.0,7.13,Yes,Eco Nike Jeans
20,1,2.8,non-binary,1499,4.4,Nike,0.4,3640,Yes,winter,mountains,0.61,P04674,Sports,24.0,17.0,Cash,5.0,6.68,No,Smart Nike Bicycle
13,19,1.3,non-binary,1656,4.0,Adidas,0.54,4842,No,monsoon,plains,0.91,P04675,Sports,20.0,14.0,Online,8.0,9.91,No,Super Adidas Shoes
24,1,2.0,male,4398,2.9,Nike,0.15,4073,No,spring,coastal,0.35,P04676,Health,55.0,9.0,Cash,0.0,4.75,Yes,Eco Nike Medicine
14,13,2.8,male,3119,1.9,Sony,0.52,1659,No,spring,coastal,0.11,P04677,Sports,23.0,11.0,Online,0.0,10.0,No,Luxury Sony Shoes
8,15,2.0,female,1576,2.3,Nike,0.77,598,Yes,summer,urban,0.73,P04678,Furniture,30.0,19.0,Card,6.0,9.32,Yes,Luxury Nike Table
41,12,2.4,non-binary,3990,4.1,Nike,-0.2,760,No,monsoon,urban,0.09,P04679,Food,53.0,14.0,Card,7.0,8.17,Yes,Ultra Nike Snack
30,9,4.1,female,3994,1.1,Samsung,0.82,2778,Yes,summer,mountains,0.63,P04680,Beauty,58.0,15.0,Online,1.0,1.95,No,Ultra Samsung Lipstick
3,17,1.8,non-binary,1874,1.6,Samsung,0.89,1537,Yes,winter,urban,0.1,P04681,Food,44.0,17.0,Online,4.0,0.77,Yes,Super Samsung Meal
45,11,1.5,male,4101,1.8,Lee,-0.51,707,No,winter,coastal,0.48,P04682,Clothing,63.0,4.0,Cash,2.0,4.03,No,Pro Lee T-Shirt
28,0,2.4,male,1429,2.7,Samsung,-0.05,4897,Yes,spring,mountains,0.16,P04683,Health,66.0,15.0,Online,5.0,3.39,Yes,Smart Samsung Bandage
23,9,4.6,male,2132,1.8,PUMA,0.11,3939,No,spring,coastal,0.57,P04684,Clothing,26.0,10.0,Online,4.0,3.45,No,Smart PUMA Jacket
10,13,2.1,non-binary,1637,2.2,Lee,-0.47,985,No,monsoon,plains,0.5,P04685,Electronics,38.0,10.0,Cash,0.0,0.53,No,Ultra Lee Tablet
36,17,3.4,female,4443,1.1,Samsung,-0.17,1309,No,spring,mountains,0.04,P04686,Sports,30.0,16.0,Card,3.0,2.55,No,Ultra Samsung Shoes
34,3,2.7,non-binary,467,4.7,PUMA,0.21,1354,No,monsoon,coastal,0.96,P04687,Food,35.0,5.0,Cash,2.0,2.92,Yes,Ultra PUMA Meal
21,19,3.2,male,2260,1.8,Lee,0.74,470,Yes,summer,urban,0.26,P04688,Clothing,34.0,3.0,Cash,7.0,6.77,No,Luxury Lee Jeans
6,14,3.5,non-binary,526,3.9,Samsung,0.47,4411,No,winter,coastal,0.22,P04689,Furniture,47.0,17.0,Card,2.0,0.33,No,Smart Samsung Shelf
17,17,2.6,male,843,4.4,Adidas,0.75,4036,Yes,summer,urban,0.0,P04690,Furniture,48.0,3.0,Online,7.0,7.74,No,Smart Adidas Table
35,11,4.7,male,2938,3.8,Sony,0.19,1197,Yes,winter,coastal,0.27,P04691,Clothing,63.0,3.0,Online,7.0,0.87,No,Pro Sony Jacket
49,14,3.8,non-binary,1721,4.8,Apple,-0.53,4015,Yes,summer,urban,0.74,P04692,Beauty,48.0,11.0,Online,9.0,6.28,No,Pro Apple Shampoo
29,16,4.8,female,3384,2.0,Adidas,0.56,1297,No,monsoon,mountains,0.51,P04693,Beauty,50.0,15.0,Card,5.0,4.45,Yes,Eco Adidas Shampoo
36,14,2.5,male,2187,2.1,Nike,0.87,1231,Yes,spring,plains,0.42,P04694,Furniture,20.0,8.0,Card,9.0,1.69,No,Ultra Nike Table
48,9,1.3,male,2588,2.5,Lee,-0.62,3677,No,summer,urban,0.58,P04695,Beauty,53.0,7.0,Card,1.0,3.82,No,Mega Lee Lotion
48,18,2.3,non-binary,3579,3.0,Apple,-0.19,2869,No,summer,urban,0.07,P04696,Clothing,68.0,16.0,Online,1.0,8.03,Yes,Pro Apple T-Shirt
15,0,1.4,non-binary,823,3.6,PUMA,-0.27,2999,No,monsoon,mountains,0.41,P04697,Electronics,47.0,16.0,Cash,7.0,6.58,Yes,Eco PUMA Laptop
28,19,3.1,non-binary,661,2.5,PUMA,0.43,161,No,spring,coastal,0.74,P04698,Health,64.0,11.0,Online,4.0,0.79,Yes,Smart PUMA Vitamin
39,5,4.5,non-binary,4662,5.0,Apple,0.28,3268,No,spring,plains,0.93,P04699,Sports,65.0,4.0,Cash,2.0,0.18,Yes,Smart Apple Bicycle
14,0,2.0,male,3909,4.2,Sony,0.33,3558,Yes,monsoon,coastal,0.42,P04700,Health,39.0,4.0,Cash,8.0,1.78,No,Ultra Sony Mask
42,19,1.4,male,3510,1.9,Nike,-0.0,3707,Yes,summer,coastal,0.84,P04701,Electronics,27.0,2.0,Cash,6.0,0.37,No,Mega Nike Headphones
29,14,4.9,male,4033,2.1,Apple,0.36,703,Yes,winter,mountains,0.35,P04702,Clothing,46.0,5.0,Online,5.0,7.28,Yes,Eco Apple Jacket
11,0,4.6,non-binary,1759,3.5,Sony,-0.94,4462,No,spring,coastal,0.17,P04703,Food,48.0,13.0,Card,4.0,3.32,No,Smart Sony Snack
46,14,4.4,non-binary,201,2.5,Adidas,-0.24,1023,No,monsoon,plains,0.29,P04704,Clothing,48.0,11.0,Cash,6.0,8.4,No,Pro Adidas Jeans
1,6,1.5,non-binary,2361,4.8,Adidas,-0.23,2112,Yes,spring,urban,0.1,P04705,Beauty,60.0,14.0,Card,3.0,6.06,Yes,Luxury Adidas Lotion
6,4,4.3,male,3218,3.2,PUMA,-0.35,4036,Yes,summer,coastal,0.34,P04706,Electronics,59.0,5.0,Online,5.0,1.39,No,Ultra PUMA Tablet
14,10,1.9,male,2074,2.9,Nike,-0.63,272,No,spring,urban,0.21,P04707,Beauty,22.0,9.0,Card,9.0,9.51,Yes,Pro Nike Shampoo
16,5,3.9,male,2391,2.2,Lee,0.04,4172,Yes,monsoon,mountains,0.73,P04708,Electronics,32.0,10.0,Card,5.0,1.66,No,Pro Lee Phone
39,7,2.3,female,514,1.4,Sony,0.17,2125,No,winter,mountains,0.67,P04709,Food,39.0,12.0,Card,6.0,4.59,No,Pro Sony Candy
10,17,2.7,female,773,4.8,PUMA,0.76,3634,No,monsoon,coastal,0.14,P04710,Clothing,50.0,2.0,Cash,8.0,7.52,No,Luxury PUMA Jeans
44,19,4.9,male,4345,1.3,Sony,0.86,706,No,monsoon,plains,0.01,P04711,Sports,65.0,17.0,Card,2.0,7.55,Yes,Mega Sony Shoes
44,6,1.2,female,2497,2.1,Nike,-0.01,116,No,spring,urban,0.12,P04712,Health,50.0,16.0,Cash,6.0,4.36,No,Luxury Nike Medicine
6,0,2.3,non-binary,485,3.0,PUMA,-0.74,1955,No,spring,coastal,0.83,P04713,Health,21.0,12.0,Cash,4.0,3.67,Yes,Mega PUMA Mask
47,3,1.4,male,969,1.9,Apple,-0.65,2588,No,winter,coastal,0.37,P04714,Clothing,54.0,7.0,Card,4.0,5.73,Yes,Eco Apple T-Shirt
28,10,4.7,non-binary,1593,2.9,Apple,0.33,2906,No,summer,mountains,0.47,P04715,Health,33.0,11.0,Card,1.0,9.96,Yes,Eco Apple Bandage
39,3,2.1,non-binary,4551,4.7,Lee,-0.04,2088,Yes,monsoon,coastal,0.92,P04716,Food,65.0,18.0,Card,4.0,7.1,No,Super Lee Candy
15,18,3.2,female,1792,2.1,Adidas,-0.32,1051,No,spring,urban,0.26,P04717,Beauty,66.0,14.0,Online,9.0,6.68,Yes,Luxury Adidas Shampoo
16,8,2.0,female,4139,4.7,Adidas,0.18,4197,No,spring,urban,0.87,P04718,Beauty,67.0,6.0,Card,7.0,8.84,No,Ultra Adidas Shampoo
31,13,4.5,female,2084,4.4,PUMA,-0.77,4084,No,monsoon,coastal,0.17,P04719,Health,41.0,5.0,Online,6.0,9.08,No,Super PUMA Mask
35,9,4.0,male,4381,4.1,PUMA,0.17,1232,Yes,spring,plains,0.31,P04720,Beauty,66.0,16.0,Card,0.0,0.03,Yes,Luxury PUMA Shampoo
3,11,3.5,non-binary,271,1.3,Sony,0.42,4561,No,winter,plains,0.51,P04721,Health,67.0,2.0,Cash,3.0,6.67,No,Mega Sony Supplements
25,3,2.3,male,1231,2.5,Samsung,0.5,4596,No,summer,mountains,0.03,P04722,Sports,22.0,7.0,Online,4.0,6.98,No,Smart Samsung Racket
34,4,2.8,male,3286,4.6,Nike,0.19,3701,Yes,summer,urban,0.99,P04723,Food,68.0,9.0,Cash,0.0,7.18,No,Ultra Nike Candy
12,18,3.5,male,4670,1.5,PUMA,-0.45,4905,No,monsoon,coastal,0.69,P04724,Electronics,56.0,14.0,Card,8.0,8.58,No,Luxury PUMA Tablet
45,13,1.7,male,2855,2.0,Adidas,-0.56,2541,Yes,winter,coastal,0.78,P04725,Health,24.0,1.0,Online,1.0,8.02,Yes,Luxury Adidas Vitamin
38,12,1.5,female,523,2.7,Lee,0.96,4676,Yes,spring,urban,0.76,P04726,Beauty,63.0,13.0,Cash,2.0,4.12,No,Super Lee Cream
35,16,2.0,non-binary,1889,1.3,Apple,-0.23,663,Yes,winter,urban,0.01,P04727,Health,20.0,5.0,Online,2.0,6.22,No,Mega Apple Medicine
41,7,2.7,female,4010,3.8,Apple,-0.01,1245,No,monsoon,mountains,0.5,P04728,Food,23.0,17.0,Card,7.0,5.68,No,Mega Apple Candy
45,12,1.1,female,3155,1.8,Sony,0.24,4409,Yes,winter,mountains,0.43,P04729,Health,50.0,10.0,Card,2.0,9.16,Yes,Luxury Sony Mask
38,2,2.8,non-binary,2543,2.8,Apple,-0.0,1794,Yes,winter,mountains,0.42,P04730,Clothing,43.0,15.0,Online,5.0,9.95,Yes,Super Apple Sneakers
4,8,4.7,male,1264,4.6,Samsung,-0.2,4189,No,monsoon,mountains,0.01,P04731,Clothing,38.0,1.0,Cash,8.0,1.95,No,Pro Samsung Sneakers
